Number,formula,enthalpy
245,B4H5,0.67230016
246,B2H12,0.29349448
247,B5H16,0.10754969
248,B6H10,0.2919474
249,B6H7,0.16914474
250,B3H18,0.14336868
251,B4H12,0.34371638
252,B2H6,0.08425246
253,B6H8,0.38438289
254,B2H5,0.50733419
257,B2H7,0.4404605
258,B5H5,0.69238814
259,B2H2,0.58859514
260,B3H8,0.08577889
261,B1H4,0.69595584
262,B3H7,0.44661215
263,B4H1,0.36477191
264,B1H18,0.1472593
265,B5H5,1.03163319
266,B4H6,0.16137152
267,B5H16,0.13425138
268,B2H3,0.19988695
269,B3H15,0.16072268
270,B4H20,0.98553122
271,B4H10,0.58306584
272,B4H18,0.15359298
273,B3H8,0.1757776
275,B1H8,0.13574299
277,B3H8,0.16987846
278,B2H5,1.3285343
279,B4H10,0.4606168
280,B5H18,0.14955163
281,B4H18,0.26709016
282,B5H5,0.58991452
283,B4H2,0.60074567
284,B2H8,0.22506491
285,B5H9,0.58102612
286,B2H10,0.29151041
287,B3H15,0.09600842
288,B5H2,0.68481704
289,B3H11,0.38088844
291,B6H20,0.52563999
292,B4H5,0.18043823
293,B6H1,0.46739022
294,B4H4,0.72727716
295,B1H11,0.06914569
296,B5H6,2.70279391
297,B6H14,0.078351
298,B6H7,0.20583393
299,B5H3,0.2844182
300,B3H16,0.19412456
301,B3H8,0.10774455
302,B4H9,0.1946659
303,B6H7,0.18344382
304,B4H9,0.11789882
305,B5H3,0.13079594
306,B3H11,0.07963239
307,B2H19,0.06361783
308,B4H9,0.09251867
309,B4H10,0.10615706
310,B5H19,0.10357392
311,B5H12,0.08314928
312,B4H2,0.13911181
313,B4H3,0.25895347
314,B5H15,0.13328959
315,B3H6,0.10572192
316,B6H9,0.19320743
317,B3H11,0.15408773
318,B4H19,0.11182588
319,B4H4,0.24421201
320,B2H11,0.25386293
321,B3H8,0.22732745
322,B4H9,0.17141069
323,B6H7,0.12984493
324,B4H9,0.19539061
325,B5H3,0.19003714
326,B3H11,0.13922969
327,B2H19,0.09824238
328,B4H9,0.16647231
329,B4H10,0.16662749
330,B5H19,0.12704002
331,B5H12,0.12203992
332,B4H2,0.18104622
333,B4H3,0.30528956
334,B5H15,0.11628785
335,B3H6,0.06817565
336,B6H9,0.15498701
337,B3H11,0.1383131
338,B4H19,0.11779266
340,B3H17,0.13559321
341,B1H15,0.16467364
342,B2H13,0.12318497
343,B5H14,0.11170483
344,B6H7,0.15789889
345,B3H14,0.12270584
346,B3H7,0.05014082
347,B2H2,0.20811815
348,B5H18,0.12200334
349,B3H9,0.09369819
350,B2H3,0.26755189
351,B3H8,0.11873097
352,B1H5,0.69095689
353,B3H7,0.09308396
354,B2H15,0.10621969
355,B3H8,0.08690049
356,B5H10,0.09622115
357,B3H15,0.13041643
358,B5H14,0.09307311
359,B4H11,0.13785932
360,B1H16,0.1239549
361,B3H12,0.11915808
362,B2H15,0.10738114
363,B2H8,0.07049538
364,B1H19,0.11423953
365,B3H10,0.10299965
366,B5H4,0.18475021
367,B3H10,0.16243553
368,B5H2,0.11178897
369,B5H13,0.17787724
370,B4H8,0.19395336
371,B3H19,0.08831849
372,B2H5,0.15669151
373,B5H6,0.10915332
374,B4H5,0.20418143
375,B5H4,0.20185027
376,B3H14,0.11446024
377,B2H14,0.13994273
378,B5H5,0.20721818
379,B4H13,0.08047176
380,B3H8,0.21739238
381,B2H18,0.0827677
382,B3H15,0.11036419
383,B5H7,0.3891157
384,B2H13,0.10587378
385,B4H13,0.13495358
386,B5H2,0.21714272
387,B1H5,0.09434394
388,B1H12,0.11391392
389,B4H2,0.10520123
390,B1H19,0.37625254
391,B4H3,0.56807566
392,B1H17,0.09414116
393,B3H5,0.03245224
394,B3H2,0.25722278
395,B6H3,0.21674549
396,B3H6,0.20654945
397,B4H14,0.08628529
398,B2H16,0.109468
399,B6H17,0.11150643
400,B3H3,0.1287996
401,B4H10,0.13659819
402,B6H18,0.11750764
403,B5H4,0.18730776
404,B3H3,0.27096595
405,B6H3,0.21314249
406,B4H12,0.07016565
407,B3H6,0.46617996
408,B6H6,0.14258073
409,B5H19,0.14250651
410,B2H9,0.14008927
411,B4H15,0.15388997
412,B2H12,0.06035642
413,B3H18,0.11556843
414,B1H20,0.13315615
415,B2H15,0.11241447
416,B5H14,0.092821
417,B3H9,0.07344338
418,B5H14,0.11984172
419,B4H16,0.10094346
420,B2H19,0.11515601
421,B3H9,0.12897196
422,B4H4,0.19679651
423,B3H20,0.11112463
424,B6H15,0.14765844
425,B2H18,0.1368827
426,B1H8,0.13793566
427,B2H8,0.19337191
428,B5H5,0.10976885
429,B2H20,0.09681942
430,B5H6,0.15295542
431,B6H17,0.12013901
432,B2H14,0.08886438
433,B3H12,0.12042706
434,B2H12,0.0992182
435,B2H11,0.09426332
436,B1H19,0.10222326
437,B5H18,0.15973313
438,B2H14,0.08057324
439,B3H12,0.11241207
440,B4H5,0.12307885
441,B4H2,0.06797725
442,B4H9,0.08900237
443,B4H7,0.12435409
444,B1H4,0.16672685
445,B1H19,0.30486389
446,B4H16,0.15561469
447,B3H10,0.11536351
448,B5H7,0.12507566
449,B5H10,0.14039664
450,B3H13,0.13256596
451,B5H5,0.58013212
452,B3H5,0.30514113
453,B2H5,0.17892714
454,B3H14,0.2627221
455,B6H12,0.36869992
456,B4H19,0.38598434
457,B4H4,0.25153565
458,B5H19,0.16904212
459,B5H9,0.61378834
462,B2H19,0.25319592
