# 
#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f             devi_e            min_dis
         127       1.214998e+01       4.701886e-05       6.424673e+00       1.795730e+00       1.565057e+00       1.681249e+00       6.072906e+00       1.543098e+00
         128       2.029529e+01       2.894887e-01       1.138025e+01       7.645582e-01       1.336485e-01       4.513323e-01       1.431453e+01       2.076046e+00
         129       2.024364e+01       3.303580e-01       1.137991e+01       7.833620e-01       1.365085e-01       4.660985e-01       1.431545e+01       2.075970e+00
         130       3.166006e+00       2.225085e-02       1.826959e+00       3.242391e+00       4.392842e-02       1.645554e+00       9.798246e+00       1.901117e+00
         131       2.002471e+01       8.827721e-01       1.109172e+01       1.279116e-02       3.808105e-03       8.487703e-03       1.416840e+01       2.248353e+00
         132       2.002473e+01       8.713729e-01       1.109354e+01       3.385450e-03       1.023213e-03       2.206989e-03       1.416984e+01       2.249848e+00
         133       1.992437e+01       9.854371e-02       1.121123e+01       9.422830e-01       9.385790e-01       9.404341e-01       1.437704e+01       2.253174e+00
         134       3.358022e+00       5.170760e-08       1.859428e+00       2.199145e+00       8.454203e-01       1.522283e+00       1.021663e+01       1.947785e+00
         135       6.358792e+00       5.053849e-03       3.101697e+00       2.891852e+01       1.107637e+00       4.964309e+00       4.849801e-01       8.638282e-01
         136       6.370540e+00       5.321497e-03       3.108991e+00       2.885660e+01       1.096026e+00       4.974630e+00       4.843841e-01       8.625667e-01
         137       6.359207e+00       5.070089e-03       3.101273e+00       2.900653e+01       1.119317e+00       4.966815e+00       4.862808e-01       8.640954e-01
         138       5.856986e-01       3.110840e-08       2.892869e-01       2.906108e+00       4.579842e-02       8.516566e-01       3.450570e-01       6.773871e-01
         139       4.683390e-01       2.794622e-08       2.305490e-01       2.938617e+00       3.652811e-02       6.111597e-01       3.705971e-01       6.820402e-01
         140       7.407266e+00       3.017328e-02       3.804842e+00       1.733904e+01       1.097957e+00       4.969789e+00       1.590120e+00       6.850441e-01
         141       7.406137e+00       2.859405e-02       3.804217e+00       1.734587e+01       1.095997e+00       4.970474e+00       1.590012e+00       6.850292e-01
         142       7.406670e+00       3.002118e-02       3.804447e+00       1.733867e+01       1.101761e+00       4.970020e+00       1.590077e+00       6.850692e-01
         143       1.253821e+00       5.280559e-05       6.580611e-01       4.765686e+00       3.313871e-01       1.446907e+00       6.382945e-01       6.723061e-01
         144       9.874354e-01       4.436809e-05       5.085266e-01       4.218344e+00       3.090661e-01       1.398923e+00       6.523875e-01       6.747275e-01
         145       1.078935e+01       1.686352e-01       6.160062e+00       1.785188e+01       1.066930e+00       6.527134e+00       2.202360e+00       1.044133e+00
         146       1.101147e+01       7.743777e-02       6.231109e+00       1.824757e+01       1.301515e+00       6.558352e+00       2.178351e+00       9.718772e-01
         147       8.206996e-01       1.273954e-01       4.494488e-01       3.659759e+00       6.096472e-16       1.293115e+00       2.335152e+00       1.180430e+00
         148       6.712050e-01       1.610045e-01       4.179740e-01       3.360172e+00       2.628530e-15       1.226626e+00       2.318838e+00       1.176247e+00
         149       1.171807e+01       1.106348e-01       6.575196e+00       2.018151e+01       1.191997e+00       6.795817e+00       2.245524e+00       9.839249e-01
         150       1.440288e+01       2.422280e-02       8.255440e+00       1.749295e+00       2.064258e-01       8.456462e-01       3.944193e+00       1.930083e+00
         151       1.430168e+01       2.177314e-02       8.197941e+00       1.788844e+00       2.100027e-01       8.543397e-01       3.944703e+00       1.931294e+00
         152       3.274440e+00       3.550685e-08       1.871634e+00       1.652601e+00       1.755207e-01       1.093339e+00       1.975314e+00       2.373052e+00
         153       1.419012e+01       1.309153e-02       8.132695e+00       1.850782e+00       2.193670e-01       8.684832e-01       3.945184e+00       1.933330e+00
         154       3.439603e+00       3.184565e-07       1.953230e+00       1.441841e+00       6.934405e-01       9.644886e-01       3.179938e+00       1.832756e+00
         155       2.342907e+01       4.359946e-02       1.306056e+01       4.449968e+00       1.580052e-01       2.802465e+00       4.341219e+00       7.064780e-01
         156       4.691238e+00       2.070381e-07       2.159301e+00       2.079455e+00       1.205678e-15       1.663564e+00       2.436059e+00       2.146969e+00
         157       4.603551e+00       1.061006e-07       2.601813e+00       1.350713e+00       3.475069e-14       1.080571e+00       3.322312e+00       1.916048e+00
         158       2.352019e+01       6.555737e-02       1.307700e+01       4.500263e+00       2.410194e-01       2.824320e+00       4.340086e+00       7.061714e-01
         159       2.351208e+01       6.906513e-02       1.308562e+01       4.483490e+00       2.773630e-01       2.821200e+00       4.339595e+00       7.061894e-01
         160       3.487427e+00       1.760000e-01       2.007631e+00       3.859762e+00       4.763494e-01       1.499306e+00       7.366566e-01       4.743832e-01
         161       3.693419e+00       1.843482e-01       2.127955e+00       3.622851e+00       1.034589e-01       1.151162e+00       7.290282e-01       4.820990e-01
         162       7.074385e-01       3.424672e-08       4.084398e-01       4.456905e-01       7.657331e-15       2.674143e-01       1.177907e+00       1.735461e+00
         163       2.388391e+00       1.605664e-01       1.302318e+00       4.016397e+00       3.806048e-01       1.495785e+00       5.449365e-01       4.717129e-01
         164       4.311909e-01       1.802460e-08       2.489482e-01       4.359615e-01       2.483118e-15       2.615769e-01       1.177537e+00       1.868309e+00
         165       1.722653e+00       3.804585e-08       9.376561e-01       1.484268e+00       6.352173e-15       5.205289e-01       1.307797e+00       1.380487e+00
         166       9.058224e+00       3.327741e-02       4.745591e+00       1.818598e+01       1.472077e+00       5.132054e+00       1.702631e+00       6.853034e-01
         167       9.085536e+00       2.499535e-02       4.762561e+00       1.829311e+01       1.493457e+00       5.145844e+00       1.708569e+00       6.804315e-01
         168       9.068829e+00       3.391410e-02       4.750907e+00       1.821992e+01       1.522765e+00       5.124702e+00       1.704453e+00       6.830067e-01
         169       4.211953e+00       3.356738e-08       2.405977e+00       1.480001e+00       2.305650e-14       6.592947e-01       1.175077e+00       1.283734e+00
         170       1.375632e+00       8.371718e-02       7.211330e-01       4.135092e+00       2.143231e-14       1.065714e+00       5.887092e-01       7.344059e-01
         171       1.341266e+01       3.710664e-02       7.035382e+00       1.005075e+01       5.255861e-04       2.948233e+00       5.107211e-01       5.457949e-01
         172       1.385211e+00       8.329805e-02       7.328704e-01       4.479431e+00       6.472603e-15       9.822784e-01       6.733720e-01       9.915966e-01
         173       1.313669e+01       4.093876e-02       6.873247e+00       1.008358e+01       5.085414e-04       2.930617e+00       5.238500e-01       5.439898e-01
         174       3.860629e+00       7.671599e-02       1.921303e+00       7.662076e+00       1.718536e-04       1.789475e+00       8.901079e-01       6.546529e-01
         175       5.573085e-01       5.632583e-06       1.931635e-01       2.952377e+00       2.425435e-15       1.185332e+00       3.796706e-01       6.992056e-01
         176       2.091629e-01       5.122534e-09       1.037658e-01       2.200271e+00       5.996871e-07       4.568385e-01       4.494620e-01       1.158640e+00
         177       2.117149e+00       4.731265e-02       1.133258e+00       5.823056e+00       5.931354e-01       2.112982e+00       2.442265e-01       9.871747e-01
         178       2.116703e+00       4.684796e-02       1.132028e+00       5.806834e+00       5.957350e-01       2.111258e+00       2.443166e-01       9.919038e-01
         179       2.120512e+00       4.641198e-02       1.134711e+00       5.824882e+00       5.849839e-01       2.111449e+00       2.442762e-01       9.945485e-01
         180       2.703359e+00       5.687246e-02       1.283551e+00       2.343306e+01       1.446080e+00       5.700582e+00       2.993871e-01       8.446444e-01
         181       6.268032e-01       7.059863e-06       2.247911e-01       2.843172e+00       7.675299e-15       1.194421e+00       3.798154e-01       7.000790e-01
         182       2.021819e-01       7.203305e-09       1.040762e-01       1.887627e+00       4.176346e-06       4.918133e-01       4.384760e-01       1.004503e+00
         183       2.699851e+00       5.546953e-02       1.289644e+00       2.312899e+01       1.435610e+00       5.650121e+00       2.946747e-01       8.384161e-01
         184       2.675946e+00       5.445002e-02       1.276071e+00       2.349659e+01       1.449595e+00       5.695821e+00       3.034244e-01       8.409332e-01
         185       9.162157e-01       5.795439e-02       4.897281e-01       2.738425e+00       1.746542e-15       9.985877e-01       9.036132e-01       6.411917e-01
         186       1.792377e+01       1.601132e-01       1.031502e+01       9.910978e-01       1.810087e-02       4.595890e-01       7.456120e+00       7.871564e-01
         187       9.460251e-01       5.332711e-02       5.177414e-01       3.483223e+00       2.096633e-15       9.709402e-01       8.844503e-01       6.129987e-01
         188       1.792259e+01       1.577632e-01       1.031482e+01       9.940247e-01       2.795575e-02       4.616326e-01       7.456466e+00       7.876015e-01
